question,branch_id,expected_divisi,finetuned_divisi,confidence,fallback_used,latency_supervisor_sec,predicted_divisi,correct,latency_total_sec,agent,answer,n_sop_docs_preview,citation_present,n_sop_docs_full,avg_retrieval_distance,grounding_precision,coverage_recall,n_answer_facts,n_context_facts,n_overlap_facts,llm_judge_verdict,hallucination_method,hallucinated,error,run
Bahan apa yang paling kritis stoknya hari ini?,,inventory,inventory,0.42675748944270964,True,0.0035195350646972656,inventory,1,3.3135106563568115,Inventory,"Berdasarkan data aktual yang tersedia, bahan yang paling kritis stoknya hari ini adalah Minyak Goreng di Savoria Malioboro dengan sisa 1 liter (1.4%) yang mendekati masa kedaluwarsa.

Sumber informasi: sop_inventory.txt",2,True,2,0.7737762629985809,1.0,0.26666666666666666,4.0,15.0,4.0,,fact_grounding,0.0,,2
Kapan bahan baku harus direstock?,,inventory,inventory,0.49367568506530096,True,0.002278566360473633,inventory,1,4.54096245765686,Inventory,"Bahan baku harus direstock jika stok bahan baku (stock_remaining) berada di bawah 10% dari stok awal hari (stock_start). Jika kondisi ini terpenuhi, maka bahan tersebut dikategorikan sebagai STATUS KRITIS dan wajib dilakukan pemesanan ulang (restock) dalam waktu maksimal 1x24 jam ke supplier terkait.

Sumber: SOP Inventory - Savoria Resto Group (sop_inventory.txt)",2,True,2,0.8307016491889954,1.0,0.16666666666666666,3.0,18.0,3.0,,fact_grounding,0.0,,2
Bagaimana cara mencegah bahan baku terbuang?,,inventory,general,0.33127818193444813,True,0.0010807514190673828,inventory,1,4.874609470367432,Inventory,"Untuk mencegah bahan baku terbuang, perlu dilakukan pengecekan stok bahan baku secara teratur dan dilaporkan ke Manajer Cabang jika sisa stok mendekati masa kedaluwarsa. Bahan baku dengan sisa stok tinggi harus dilaporkan untuk dipertimbangkan promosi menu terkait guna mengurangi bahan yang terbuang.

Sumber informasi: SOP DIVISI INVENTORY - SAVORIA RESTO GROUP, data aktual dari stok per 2026-06-29.",2,True,2,0.7891063094139099,1.0,0.16666666666666666,3.0,18.0,3.0,,fact_grounding,0.0,,2
Stok bahan baku mana saja yang statusnya waspada?,BR01,inventory,inventory,0.39995194484465096,True,0.003263235092163086,inventory,1,3.6638197898864746,Inventory,"Berdasarkan konteks SOP dan data aktual, stok bahan baku yang statusnya waspada adalah Minyak Goreng di Savoria Malioboro dengan sisa 1 liter (1.4%) dan Daging Sapi di Savoria Malioboro dengan sisa 2 kg (2.1%).

Sumber informasi: sop_inventory.txt",2,True,2,0.7341052293777466,1.0,0.3181818181818182,7.0,22.0,7.0,,fact_grounding,0.0,,2
Apa SOP penanganan bahan baku yang mendekati kadaluarsa?,,inventory,inventory,0.48504500871772843,True,0.0026788711547851562,inventory,1,4.029301643371582,Inventory,"SOP terkait penanganan bahan baku yang mendekati kadaluarsa adalah sebagai berikut:

Bahan baku dengan sisa stok tinggi namun mendekati masa kedaluwarsa harus dilaporkan ke Manajer Cabang untuk dipertimbangkan promosi menu terkait guna mengurangi bahan yang terbuang.

Sumber informasi: SOP Divisi Inventory - Savoria Resto Group, data aktual.",2,True,2,0.7173924446105957,,0.0,0.0,18.0,0.0,not_grounded,llm_judge,1.0,,2
Menu apa yang paling laris bulan ini?,,order,order,0.3458760417104323,True,0.001566171646118164,order,1,3.122744083404541,Order,"Berdasarkan data aktual dan SOP Divisi Order/Savoria Resto Group, menu yang paling laris bulan ini adalah Es Teh Manis dengan 6578 porsi terjual.

Sumber: sop_order.txt.",2,True,2,0.8420008420944214,1.0,0.11764705882352941,2.0,17.0,2.0,,fact_grounding,0.0,,2
Apa yang harus dilakukan saat jam sibuk?,,order,order,0.3488848464324211,True,0.0013453960418701172,order,1,3.732103109359741,Order,"Pada jam sibuk (pukul 11.00-14.00 dan 18.00-21.00), setiap cabang wajib menambah minimal 1 staf kasir/dapur ekstra untuk menjaga SLA 15 menit tetap terpenuhi.

Sumber: sop_order.txt",2,True,2,0.8128782212734222,1.0,0.2857142857142857,6.0,21.0,6.0,,fact_grounding,0.0,,2
Bagaimana urutan prioritas pesanan online vs offline?,,order,order,0.4042429958145913,True,0.002262592315673828,order,1,3.8371825218200684,Order,"Berdasarkan konteks SOP di atas, urutan prioritas pesanan adalah berdasarkan waktu masuk, yaitu First-In-First-Out (FIFO). Pesanan disusun berdasarkan waktu masuk, tidak berdasarkan kanal. 

SOP terkait hal ini tersedia di knowledge base, dan sumber informasinya adalah file ""sop_order.txt"".",2,True,2,0.7483443915843964,,0.0,0.0,15.0,0.0,not_grounded,llm_judge,1.0,,2
Bagaimana distribusi kanal pemesanan di cabang ini?,BR01,order,order,0.2572762658715456,True,0.002412080764770508,order,1,3.4471824169158936,Order,"Distribusi kanal pemesanan di cabang ini adalah sebagai berikut:

- Offline: 46.7%
- GoFood: 23.7%
- GrabFood: 19.5%
- ShopeeFood: 10.0%

Sumber informasi: sop_order.txt",2,True,2,0.8384671211242676,1.0,0.23529411764705882,4.0,17.0,4.0,,fact_grounding,0.0,,2
Menu apa yang penjualannya paling rendah?,,order,order,0.4379550864154877,True,0.0025162696838378906,order,1,3.247718095779419,Order,"Berdasarkan data aktual yang tersedia di SOP Order, menu dengan penjualan paling rendah adalah Ayam Bakar Madu Savoria dengan jumlah porsi terjual sebesar 4707 porsi. 

Sumber informasimu: sop_order.txt.",2,True,2,0.8501414954662323,1.0,0.1875,3.0,16.0,3.0,,fact_grounding,0.0,,2
